"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Negative test: invalid types. JSONPlaceholder still accepts and returns 200.
        ","358","test_update_post_with_invalid_data","tests","Fri Jun 27 12:15:57 IDT 2025","passed","Fri Jun 27 12:15:58 IDT 2025","TestPostsUpdate","posts_update_test","",""
"","74","test_get_all_posts","tests","Fri Jun 27 12:15:56 IDT 2025","passed","Fri Jun 27 12:15:56 IDT 2025","TestPostsGet","posts_get_test","",""
"
        Negative test: Empty ID should return 404 or 500.
        ","203","test_delete_post_with_empty_id","tests","Fri Jun 27 12:15:55 IDT 2025","passed","Fri Jun 27 12:15:55 IDT 2025","TestPostsDelete","posts_delete_test","",""
"
        Stress test: Send a very large body string.
        JSONPlaceholder accepts large payloads and returns them as-is.
        ","512","test_create_post_with_large_payload","tests","Fri Jun 27 12:15:53 IDT 2025","passed","Fri Jun 27 12:15:54 IDT 2025","TestPostsCreate","posts_create_test","",""
"
        Negative test: None as ID is invalid.
        Expecting 404 or 500 depending on the backend.
        ","203","test_delete_post_with_none_id","tests","Fri Jun 27 12:15:55 IDT 2025","passed","Fri Jun 27 12:15:56 IDT 2025","TestPostsDelete","posts_delete_test","",""
"
        Edge case: Sending an empty dict still returns 201 and generates only an ID.
        ","721","test_create_post_with_empty_payload","tests","Fri Jun 27 12:15:52 IDT 2025","passed","Fri Jun 27 12:15:53 IDT 2025","TestPostsCreate","posts_create_test","",""
"
        Negative test: update a post with ID that doesn't exist.
        JSONPlaceholder returns 500.
        ","191","test_update_non_existent_post","tests","Fri Jun 27 12:15:58 IDT 2025","passed","Fri Jun 27 12:15:58 IDT 2025","TestPostsUpdate","posts_update_test","",""
"
        Missing required fields like 'body' or 'userId'.
        JSONPlaceholder still returns 201 with only the fields you provide.
        ","600","test_create_post_without_required_fields","tests","Fri Jun 27 12:15:51 IDT 2025","passed","Fri Jun 27 12:15:51 IDT 2025","TestPostsCreate","posts_create_test","",""
"","93","test_get_post_valid_id_1","tests","Fri Jun 27 12:15:56 IDT 2025","passed","Fri Jun 27 12:15:56 IDT 2025","TestPostsGet","posts_get_test","",""
"","63","test_get_post_valid_id_101","tests","Fri Jun 27 12:15:56 IDT 2025","passed","Fri Jun 27 12:15:56 IDT 2025","TestPostsGet","posts_get_test","",""
